

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
527.420  004.697  003.498: sourcing /Users/nissassin17/.vim/bundle/ctrlp.vim/plugin/ctrlp.vim
528.453  000.157  000.157: sourcing /Users/nissassin17/.vim/bundle/ctrlp-funky/plugin/funky.vim
530.140  000.889  000.889: sourcing /Users/nissassin17/.vim/bundle/vim-multiple-cursors/plugin/multiple_cursors.vim
532.163  001.195  001.195: sourcing /Users/nissassin17/.vim/bundle/sessionman.vim/plugin/sessionman.vim
535.093  002.122  002.122: sourcing /Users/nissassin17/.vim/bundle/matchit.zip/plugin/matchit.vim
540.557  000.826  000.826: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline.vim
541.977  000.508  000.508: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/init.vim
543.113  000.231  000.231: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/parts.vim
543.953  007.409  005.844: sourcing /Users/nissassin17/.vim/bundle/vim-airline/plugin/airline.vim
546.649  000.256  000.256: sourcing /Users/nissassin17/.vim/bundle/vim-bufferline/autoload/bufferline.vim
546.965  001.748  001.492: sourcing /Users/nissassin17/.vim/bundle/vim-bufferline/plugin/bufferline.vim
558.135  009.741  009.741: sourcing /Users/nissassin17/.vim/bundle/vim-easymotion/plugin/EasyMotion.vim
561.901  002.403  002.403: sourcing /Users/nissassin17/.vim/bundle/undotree/plugin/undotree.vim
563.910  000.405  000.405: sourcing /Users/nissassin17/.vim/bundle/restore_view.vim/plugin/restore_view.vim
565.385  000.741  000.741: sourcing /Users/nissassin17/.vim/bundle/vim-signify/plugin/signify.vim
567.493  001.510  001.510: sourcing /Users/nissassin17/.vim/bundle/vim-abolish/plugin/abolish.vim
569.220  000.486  000.486: sourcing /Users/nissassin17/.vim/bundle/vim-over/plugin/over.vim
576.478  002.070  002.070: sourcing /Users/nissassin17/.vim/bundle/vim-textobj-user/autoload/textobj/user.vim
580.186  009.552  007.482: sourcing /Users/nissassin17/.vim/bundle/vim-textobj-indent/plugin/textobj/indent.vim
581.849  000.253  000.253: sourcing /Users/nissassin17/.vim/bundle/vim-litecorrect/plugin/litecorrect.vim
584.036  000.325  000.325: sourcing /Users/nissassin17/.vim/bundle/vim-textobj-sentence/plugin/textobj/sentence.vim
586.591  000.751  000.751: sourcing /Users/nissassin17/.vim/bundle/vim-textobj-quote/plugin/textobj/quote.vim
590.913  000.113  000.113: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
591.436  000.117  000.117: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
591.879  000.105  000.105: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/checker.vim
592.299  000.103  000.103: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
592.725  000.110  000.110: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/highlighting.vim
593.335  000.140  000.140: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/loclist.vim
593.898  000.125  000.125: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/modemap.vim
594.354  000.112  000.112: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/notifiers.vim
594.780  000.108  000.108: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/registry.vim
595.214  000.115  000.115: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/signs.vim
600.772  002.360  002.360: sourcing /Users/nissassin17/.vim/bundle/syntastic/autoload/syntastic/util.vim
617.621  000.312  000.312: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
617.933  000.243  000.243: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
619.232  001.242  001.242: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/checker.vim
619.707  000.382  000.382: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
620.085  000.318  000.318: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/highlighting.vim
621.792  001.650  001.650: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/loclist.vim
622.125  000.234  000.234: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/modemap.vim
622.357  000.173  000.173: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/notifiers.vim
623.495  001.083  001.083: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/registry.vim
624.076  000.494  000.494: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/signs.vim
632.571  000.051  000.051: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
632.663  000.029  000.029: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
632.741  000.026  000.026: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/checker.vim
632.814  000.024  000.024: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
632.886  000.023  000.023: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/highlighting.vim
632.955  000.021  000.021: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/loclist.vim
633.022  000.019  000.019: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/modemap.vim
633.089  000.019  000.019: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/notifiers.vim
633.154  000.018  000.018: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/registry.vim
633.219  000.017  000.017: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/signs.vim
639.590  043.937  035.199: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic.vim
656.203  015.948  015.948: sourcing /Users/nissassin17/.vim/bundle/vim-fugitive/plugin/fugitive.vim
657.028  000.221  000.221: sourcing /Users/nissassin17/.vim/bundle/gist-vim/plugin/gist.vim
666.109  008.359  008.359: sourcing /Users/nissassin17/.vim/bundle/nerdcommenter/plugin/NERD_commenter.vim
667.207  000.533  000.533: sourcing /Users/nissassin17/.vim/bundle/vim-commentary/plugin/commentary.vim
668.611  000.851  000.851: sourcing /Users/nissassin17/.vim/bundle/tabular/plugin/Tabular.vim
672.747  003.586  003.586: sourcing /Users/nissassin17/.vim/bundle/rainbow/plugin/rainbow.vim
675.034  001.686  001.686: sourcing /Users/nissassin17/.vim/bundle/tagbar/plugin/tagbar.vim
677.345  001.726  001.726: sourcing /Users/nissassin17/.vim/bundle/YouCompleteMe/plugin/youcompleteme.vim
679.352  000.212  000.212: sourcing /Users/nissassin17/.vim/bundle/ultisnips/autoload/UltiSnips/map_keys.vim
679.565  001.648  001.436: sourcing /Users/nissassin17/.vim/bundle/ultisnips/plugin/UltiSnips.vim
680.269  000.131  000.131: sourcing /Users/nissassin17/.vim/bundle/vim-snippets/plugin/vimsnippets.vim
682.478  001.569  001.569: sourcing /Users/nissassin17/.vim/bundle/PIV/plugin/phpfolding.vim
682.908  000.177  000.177: sourcing /Users/nissassin17/.vim/bundle/PIV/plugin/piv.vim
683.996  000.558  000.558: sourcing /Users/nissassin17/.vim/bundle/vim-php-namespace/plugin/phpns.vim
685.930  000.237  000.237: sourcing /Users/nissassin17/.vim/bundle/python-mode/autoload/pymode.vim
687.035  000.043  000.043: sourcing /usr/local/share/vim/vim74/filetype.vim
688.983  000.031  000.031: sourcing /usr/local/share/vim/vim74/ftplugin.vim
693.253  000.071  000.071: sourcing /usr/local/share/vim/vim74/filetype.vim
696.337  000.043  000.043: sourcing /usr/local/share/vim/vim74/ftplugin.vim
697.734  013.106  012.681: sourcing /Users/nissassin17/.vim/bundle/python-mode/plugin/pymode.vim
703.598  005.024  005.024: sourcing /Users/nissassin17/.vim/bundle/emmet-vim/plugin/emmet.vim
709.634  005.424  005.424: sourcing /Users/nissassin17/.vim/bundle/vim-rails/plugin/rails.vim
710.662  000.206  000.206: sourcing /Users/nissassin17/.vim/bundle/rust.vim/plugin/rust.vim
711.514  000.409  000.409: sourcing /Users/nissassin17/.vim/bundle/rust.vim/plugin/rustfmt.vim
712.589  000.231  000.231: sourcing /Users/nissassin17/.vim/bundle/vim-cucumber-align-pipes/plugin/cucumber-align-pipes.vim
713.790  000.441  000.441: sourcing /Users/nissassin17/.vim/bundle/vim-niji/plugin/niji.vim
714.967  000.475  000.475: sourcing /Users/nissassin17/.vim/bundle/vim-startify/plugin/startify.vim
715.953  000.255  000.255: sourcing /Users/nissassin17/.vim/bundle/vim-close-pair/plugin/close_pair.vim
716.997  000.354  000.354: sourcing /Users/nissassin17/.vim/bundle/bclose.vim/plugin/bclose.vim
718.967  001.259  001.259: sourcing /Users/nissassin17/.vim/bundle/vim-test/plugin/test.vim
719.931  000.238  000.238: sourcing /Users/nissassin17/.vim/bundle/vim-tabline/plugin/tabline.vim
720.378  000.100  000.100: sourcing /Users/nissassin17/.vim/bundle/tlib_vim/plugin/02tlib.vim
720.645  000.076  000.076: sourcing /Users/nissassin17/.vim/bundle/ack.vim/plugin/ack.vim
720.923  000.091  000.091: sourcing /Users/nissassin17/.vim/bundle/nerdtree/plugin/NERD_tree.vim
721.237  000.070  000.070: sourcing /Users/nissassin17/.vim/bundle/vim-surround/plugin/surround.vim
721.518  000.062  000.062: sourcing /Users/nissassin17/.vim/bundle/conflict-marker.vim/plugin/conflict_marker.vim
721.794  000.070  000.070: sourcing /Users/nissassin17/.vim/bundle/ctrlp.vim/plugin/ctrlp.vim
722.109  000.136  000.136: sourcing /Users/nissassin17/.vim/bundle/ctrlp-funky/plugin/funky.vim
